id;start_date;end_date;language
1;2020-05-26T02:58:15;2020-05-26T00:48:30;SPANISH
2;2020-05-25T07:48:26;2020-05-26T02:52:51;SPANISH
3;2020-05-25T22:43:45;2020-05-25T09:17:54;FRENCH
4;2020-05-25T14:01:16;2020-05-26T01:32:42;FRENCH
5;2020-05-25T23:31:34;2020-05-26T04:18:33;FRENCH
6;2020-05-25T17:23:55;2020-05-26T05:32:09;FRENCH
7;2020-05-25T19:09:15;2020-05-25T13:00:06;FRENCH
8;2020-05-25T18:05:28;2020-05-26T04:21:36;SPANISH
9;2020-05-25T16:46:37;2020-05-25T13:28:00;SPANISH
10;2020-05-26T00:58:41;2020-05-25T11:33:11;SPANISH
